TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332, null, null,5.484,5,0.777,0.911,48522, True
GO:0044249," ""cellular biosynthetic process""",23.054, null, null,6.722,5,0.843,0.723,1901576, True
GO:0009966," ""regulation of signal transduction""",0.89, null, null,5.308,3,0.809,0.84,80134, True
GO:0051172," ""negative regulation of nitrogen compound metabolic process""",1.309, null, null,5.476,3,0.78,0.877,48523, True
GO:0071310," ""cellular response to organic substance""",0.683, null, null,5.193,3,0.895,0.731,70887, True
GO:0006796," ""phosphate-containing compound metabolic process""",14.031, null, null,6.506,3,0.894,0.738,16310, True
GO:2000112," ""regulation of cellular macromolecule biosynthetic process""",11.418, null, null,6.417,3,0.733,0.83,31323, True
GO:0044248," ""cellular catabolic process""",4.061, null, null,5.968,2,0.914,0.759,9057, True
GO:0010942," ""positive regulation of cell death""",0.101, null, null,4.362,2,0.829,0.888,42981, True
GO:0051173," ""positive regulation of nitrogen compound metabolic process""",1.258, null, null,5.459,2,0.778,0.967,48522, True
GO:0002520," ""immune system development""",0.155, null, null,4.55,2,0.985,0.722,7275, True
GO:1901700," ""response to oxygen-containing compound""",0.566, null, null,5.112,2,0.911,0.716,70887, True
GO:0006915," ""apoptotic process""",0.218,7.422,-3.47,4.699,6,0.992,0.011,-1, False
GO:0030155," ""regulation of cell adhesion""",0.129,6.949,3.16,4.468,2,0.851,0.233,-1, False
GO:0030334," ""regulation of cell migration""",0.166,6.901,2.612,4.578,2,0.848,0.239,-1, False
GO:0001817," ""regulation of cytokine production""",0.125,6.597,1.99,4.456,2,0.836,0.344,-1, False
GO:0042127," ""regulation of cell population proliferation""",0.296,6.571,3.795,4.831,2,0.84,0.253,-1, False
GO:1903320," ""regulation of protein modification by small protein conjugation or removal""",0.075,6.451,1.696,4.234,2,0.836,0.655,-1, False
GO:0010941," ""regulation of cell death""",0.357,6.284,4.301,4.912,7,0.837,0.258,-1, False
GO:0009894," ""regulation of catabolic process""",0.358,6.232,2.383,4.913,5,0.821,0.379,-1, False
GO:0010646," ""regulation of cell communication""",0.982,6.126,3.612,5.351,6,0.821,0.289,-1, False
GO:1903311," ""regulation of mRNA metabolic process""",0.149,6.05,1.85,4.531,2,0.829,0.359,-1, False
GO:0010608," ""posttranscriptional regulation of gene expression""",1.58,5.924,2.84,5.558,2,0.792,0.456,-1, False
GO:0023051," ""regulation of signaling""",0.987,5.823,4.437,5.353,6,0.826,0.289,-1, False
GO:0002682," ""regulation of immune system process""",0.288,5.764,5.122,4.818,5,0.845,0.253,-1, False
GO:0048522," ""positive regulation of cellular process""",1.99,5.726,3.578,5.658,5,0.787,0.335,-1, False
