TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,4.667,-5.331,5.302,-7.374,1,0,-1, False
GO:0002520," ""immune system development""",0.155,2.293,-2.948,4.55,-6.717,0.908,0,-1, False
GO:0030097," ""hemopoiesis""",0.139, null, null,4.502,-4.959,0.903,0.72,2520, True
GO:0006955," ""immune response""",0.683, null, null,5.193,-2.183,0.836,0.82,2520, True
GO:0030099," ""myeloid cell differentiation""",0.053, null, null,4.087,-2.042,0.902,0.92,2520, True
GO:0002521," ""leukocyte differentiation""",0.064, null, null,4.166,-1.508,0.901,0.932,2520, True
GO:0048534," ""hematopoietic or lymphoid organ development""",0.15, null, null,4.535,-4.595,0.902,0.987,2520, True
GO:0006351," ""transcription  DNA-templated""",2.005,-3.628,5.372,5.661,-10.987,0.862,0,-1, False
GO:0006366," ""transcription by RNA polymerase II""",0.219, null, null,4.7,-10.559,0.892,0.761,6351, True
GO:0097659," ""nucleic acid-templated transcription""",2.031, null, null,5.667,-10.959,0.873,0.952,6351, True
GO:0006950," ""response to stress""",4.522,6.281,-2.102,6.014,-11.328,0.885,0,-1, False
GO:0008152," ""metabolic process""",62.634,-1.815,-6.297,7.156,-24.701,1,0,-1, False
GO:0009987," ""cellular process""",79.11,3.368,-5.101,7.257,-7.987,1,0,-1, False
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332,5.568,3.748,5.484,-18.105,0.646,0,-1, False
GO:0045944," ""positive regulation of transcription by RNA polymerase II""",0.393, null, null,4.954,-10.394,0.666,0.853,10604, True
GO:0032270," ""positive regulation of cellular protein metabolic process""",0.481, null, null,5.041,-2.377,0.653,0.871,10604, True
GO:0051247," ""positive regulation of protein metabolic process""",0.496, null, null,5.055,-2.784,0.655,0.873,10604, True
GO:0009893," ""positive regulation of metabolic process""",1.408, null, null,5.508,-18.777,0.655,0.875,10604, True
GO:0051254," ""positive regulation of RNA metabolic process""",0.784, null, null,5.254,-14.399,0.652,0.917,10604, True
GO:0048522," ""positive regulation of cellular process""",1.99, null, null,5.658,-11.824,0.676,0.918,10604, True
