TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,-6.104,4.52,5.302,-6.903,1,0,-1, False
GO:0006351," ""transcription DNA-templated""",2.005,2.552,-5.663,5.661,-10.668,0.858,0,-1, False
GO:0006366," ""transcription by RNA polymerase II""",0.219, null, null,4.7,-8.416,0.89,0.761,6351, True
GO:0097659," ""nucleic acid-templated transcription""",2.031, null, null,5.667,-10.644,0.867,0.952,6351, True
GO:0006950," ""response to stress""",4.522,-2.723,4.158,6.014,-9.089,0.936,0,-1, False
GO:0008104," ""protein localization""",3.007,5.402,2.991,5.837,-3.273,0.96,0,-1, False
GO:0070727," ""cellular macromolecule localization""",1.598, null, null,5.563,-2.609,0.947,0.84,8104, True
GO:0034613," ""cellular protein localization""",1.588, null, null,5.56,-2.22,0.946,0.883,8104, True
GO:0033365," ""protein localization to organelle""",0.628, null, null,5.157,-2.098,0.951,0.884,8104, True
GO:0046907," ""intracellular transport""",1.822, null, null,5.62,-1.859,0.953,0.898,8104, True
GO:0045184," ""establishment of protein localization""",2.814, null, null,5.808,-1.654,0.959,0.907,8104, True
GO:0051649," ""establishment of localization in cell""",1.968, null, null,5.653,-1.563,0.953,0.921,8104, True
GO:0008152," ""metabolic process""",62.634,-0.001,6.589,7.156,-19.44,1,0,-1, False
GO:0009987," ""cellular process""",79.11,-5.558,5.03,7.257,-5.987,1,0,-1, False
GO:0016032," ""viral process""",0.155,1.094,4.016,4.549,-1.868,1,0,-1, False
GO:0030097," ""hemopoiesis""",0.139,2.376,1.935,4.502,-8.572,0.893,0,-1, False
GO:0002520," ""immune system development""",0.155, null, null,4.55,-8.833,0.904,0.72,30097, True
GO:0007275," ""multicellular organism development""",1.649, null, null,5.576,-5.785,0.911,0.722,30097, True
GO:0009790," ""embryo development""",0.299, null, null,4.834,-1.322,0.92,0.769,30097, True
GO:0030316," ""osteoclast differentiation""",0.008, null, null,3.25,-4.733,0.904,0.81,30097, True
GO:0048513," ""animal organ development""",0.731, null, null,5.223,-2.647,0.911,0.846,30097, True
GO:0030154," ""cell differentiation""",1.023, null, null,5.369,-4.244,0.911,0.852,30097, True
GO:0048869," ""cellular developmental process""",1.041, null, null,5.376,-4.284,0.916,0.854,30097, True
GO:0002573," ""myeloid leukocyte differentiation""",0.023, null, null,3.713,-4.479,0.898,0.867,30097, True
GO:0048731," ""system development""",1.223, null, null,5.446,-5.256,0.91,0.897,30097, True
GO:0030098," ""lymphocyte differentiation""",0.044, null, null,4.004,-2.639,0.887,0.911,30097, True
GO:0030099," ""myeloid cell differentiation""",0.053, null, null,4.087,-6.513,0.894,0.92,30097, True
GO:0048856," ""anatomical structure development""",2.035, null, null,5.668,-5.863,0.918,0.925,30097, True
GO:0002521," ""leukocyte differentiation""",0.064, null, null,4.166,-7.616,0.893,0.932,30097, True
GO:0046649," ""lymphocyte activation""",0.067, null, null,4.188,-2.188,0.939,0.935,30097, True
GO:0042110," ""T cell activation""",0.042, null, null,3.985,-2.044,0.941,0.942,30097, True
GO:0045321," ""leukocyte activation""",0.088, null, null,4.305,-1.459,0.939,0.949,30097, True
GO:1903131," ""mononuclear cell differentiation""",0.05, null, null,4.062,-2.824,0.893,0.959,30097, True
GO:0048534," ""hematopoietic or lymphoid organ development""",0.15, null, null,4.535,-8.903,0.893,0.987,30097, True
GO:0032502," ""developmental process""",2.266,2.324,4.153,5.714,-5.979,1,0,-1, False
GO:0040007," ""growth""",0.122,3.422,4.08,4.447,-2.135,1,0,-1, False
GO:0040011," ""locomotion""",0.96,0.768,2.76,5.341,-1.713,1,0,-1, False
GO:0044419," ""biological process involved in interspecies interaction between organisms""",0.755,6.203,1.871,5.237,-4.764,1,0,-1, False
GO:0048519," ""negative regulation of biological process""",2.524,-5.818,-3,5.761,-18.996,0.739,0,-1, False
GO:0051179," ""localization""",19.753,4.36,4.713,6.655,-1.465,1,0,-1, False
GO:0065007," ""biological regulation""",22.821,2.942,5.57,6.717,-4.264,1,0,-1, False
GO:0007159," ""leukocyte cell-cell adhesion""",0.008,-6.198,3.853,3.281,-2.682,0.996,0.007,-1, False
