TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0008152," ""metabolic process""",62.634,-6.683,-0.071,7.156,-16.701,1,0,-1, False
GO:0009987," ""cellular process""",79.11,-3.773,0.721,7.257,-4.893,1,0,-1, False
GO:0044265," ""cellular macromolecule catabolic process""",1.526,2.141,-7.705,5.543,-8.082,0.784,0,-1, False
GO:0006511," ""ubiquitin-dependent protein catabolic process""",0.662, null, null,5.18,-6.017,0.771,0.811,44265, True
GO:0043632," ""modification-dependent macromolecule catabolic process""",0.715, null, null,5.214,-6.513,0.796,0.827,44265, True
GO:0030163," ""protein catabolic process""",1.027, null, null,5.371,-4.347,0.789,0.851,44265, True
GO:0010498," ""proteasomal protein catabolic process""",0.311, null, null,4.851,-3.749,0.789,0.878,44265, True
GO:0043161," ""proteasome-mediated ubiquitin-dependent protein catabolic process""",0.268, null, null,4.787,-2.912,0.791,0.9,44265, True
GO:0044257," ""cellular protein catabolic process""",0.85, null, null,5.288,-6.315,0.768,0.926,44265, True
GO:0051603," ""proteolysis involved in cellular protein catabolic process""",0.841, null, null,5.284,-6.082,0.766,0.965,44265, True
GO:0019941," ""modification-dependent protein catabolic process""",0.704, null, null,5.206,-5.74,0.77,0.984,44265, True
GO:0051173," ""positive regulation of nitrogen compound metabolic process""",1.258,-3.868,-5.503,5.459,-11.321,0.628,0,-1, False
GO:0009893," ""positive regulation of metabolic process""",1.408, null, null,5.508,-10.509,0.639,0.869,51173, True
GO:0045893," ""positive regulation of transcription DNA-templated""",0.701, null, null,5.205,-8.45,0.631,0.9,51173, True
GO:0045935," ""positive regulation of nucleobase-containing compound metabolic process""",0.834, null, null,5.28,-10.087,0.634,0.917,51173, True
GO:0048522," ""positive regulation of cellular process""",1.99, null, null,5.658,-5.261,0.675,0.918,51173, True
GO:0009891," ""positive regulation of biosynthetic process""",0.85, null, null,5.288,-8.439,0.64,0.919,51173, True
GO:0045944," ""positive regulation of transcription by RNA polymerase II""",0.393, null, null,4.954,-2.841,0.65,0.938,51173, True
GO:0031325," ""positive regulation of cellular metabolic process""",1.313, null, null,5.477,-11.181,0.626,0.965,51173, True
GO:0051254," ""positive regulation of RNA metabolic process""",0.784, null, null,5.254,-9.164,0.632,0.968,51173, True
GO:1902680," ""positive regulation of RNA biosynthetic process""",0.701, null, null,5.205,-8.434,0.631,0.97,51173, True
GO:0031328," ""positive regulation of cellular biosynthetic process""",0.844, null, null,5.286,-9.049,0.632,0.971,51173, True
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332, null, null,5.484,-10.577,0.628,0.972,51173, True
GO:0010557," ""positive regulation of macromolecule biosynthetic process""",0.819, null, null,5.272,-8.071,0.634,0.987,51173, True
GO:1903508," ""positive regulation of nucleic acid-templated transcription""",0.701, null, null,5.205,-8.45,0.631,0.993,51173, True
GO:0046907," ""intracellular transport""",1.822,0.533,5.625,5.62,-7.033,0.868,0.012,-1, False
GO:0006913," ""nucleocytoplasmic transport""",0.315, null, null,4.857,-3.729,0.884,0.789,46907, True
GO:0051169," ""nuclear transport""",0.315, null, null,4.857,-3.729,0.888,0.789,46907, True
GO:0033365," ""protein localization to organelle""",0.628, null, null,5.157,-1.945,0.868,0.805,46907, True
GO:0034613," ""cellular protein localization""",1.588, null, null,5.56,-3.996,0.856,0.897,46907, True
GO:0070727," ""cellular macromolecule localization""",1.598, null, null,5.563,-3.86,0.86,0.898,46907, True
GO:0051649," ""establishment of localization in cell""",1.968, null, null,5.653,-4.118,0.869,0.921,46907, True
GO:0051168," ""nuclear export""",0.157, null, null,4.556,-1.782,0.891,0.94,46907, True
GO:0006886," ""intracellular protein transport""",1.245, null, null,5.454,-1.874,0.856,0.955,46907, True
GO:0033554," ""cellular response to stress""",3.091,-5.599,2.05,5.849,-5.793,0.963,0.013,-1, False
GO:0006974," ""cellular response to DNA damage stimulus""",2.542, null, null,5.764,-1.592,0.963,0.827,33554, True
GO:0006996," ""organelle organization""",4.279,-2.919,4.475,5.99,-5.747,0.927,0.015,-1, False
GO:0044085," ""cellular component biogenesis""",4.965, null, null,6.055,-2.656,0.929,0.706,6996, True
GO:0022607," ""cellular component assembly""",2.655, null, null,5.783,-2.393,0.931,0.707,6996, True
GO:0016043," ""cellular component organization""",7.49, null, null,6.234,-5.475,0.925,0.777,6996, True
GO:0071840," ""cellular component organization or biogenesis""",9.154,-2.422,1.607,6.321,-5.818,0.986,0.018,-1, False
GO:0044237," ""cellular metabolic process""",51.477,4.474,2.54,7.071,-21.365,0.903,0.072,-1, False
GO:0009056," ""catabolic process""",5.897,-5.747,0.266,6.13,-3.546,0.949,0.1,-1, False
GO:0009058," ""biosynthetic process""",24.708,4.586,4.708,6.752,-13.622,0.928,0.17,-1, False
GO:0034641," ""cellular nitrogen compound metabolic process""",26.444,5.079,-0.456,6.781,-15.229,0.864,0.175,-1, False
GO:0031647," ""regulation of protein stability""",0.068,-4.835,-2.955,4.193,-3.283,0.847,0.196,-1, False
GO:0006796," ""phosphate-containing compound metabolic process""",14.031,6.81,2.015,6.506,-1.434,0.905,0.196,-1, False
GO:0006793," ""phosphorus metabolic process""",14.335,7.298,1.298,6.515,-1.916,0.904,0.197,-1, False
GO:0043170," ""macromolecule metabolic process""",34.507,2.618,0.365,6.897,-15.12,0.896,0.202,-1, False
GO:0032386," ""regulation of intracellular transport""",0.065,-5.37,-3.605,4.173,-2.15,0.814,0.209,-1, False
GO:0046822," ""regulation of nucleocytoplasmic transport""",0.026, null, null,3.775,-1.547,0.827,0.824,32386, True
GO:1903827," ""regulation of cellular protein localization""",0.108, null, null,4.394,-1.315,0.807,0.907,32386, True
GO:1901360," ""organic cyclic compound metabolic process""",22.607,1.339,0.369,6.713,-12.57,0.908,0.209,-1, False
GO:0046483," ""heterocycle metabolic process""",21.847,5.886,1.21,6.698,-13.987,0.894,0.226,-1, False
GO:0006725," ""cellular aromatic compound metabolic process""",21.889,6.349,0.954,6.699,-14.423,0.894,0.226,-1, False
GO:0070647," ""protein modification by small protein conjugation or removal""",1.191,3.418,-7.09,5.435,-6.889,0.837,0.236,-1, False
GO:0006807," ""nitrogen compound metabolic process""",45.593,4.688,3.14,7.018,-20.007,0.913,0.241,-1, False
GO:0006351," ""transcription DNA-templated""",2.005,5.192,-4.973,5.661,-6.824,0.784,0.251,-1, False
GO:0006366," ""transcription by RNA polymerase II""",0.219, null, null,4.7,-3.226,0.833,0.761,6351, True
GO:0097659," ""nucleic acid-templated transcription""",2.031, null, null,5.667,-6.804,0.797,0.952,6351, True
GO:0044238," ""primary metabolic process""",49.956,3.801,2.558,7.058,-16.857,0.91,0.257,-1, False
GO:0044260," ""cellular macromolecule metabolic process""",25.538,3.563,-3.244,6.766,-16.684,0.819,0.264,-1, False
GO:0051128," ""regulation of cellular component organization""",1,-5.075,-4.505,5.359,-2.281,0.781,0.272,-1, False
