TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0006351," ""transcription DNA-templated""",2.005,5.313,3.622,5.661,-6.397,0.707,0,-1, False
GO:0006366," ""transcription by RNA polymerase II""",0.219, null, null,4.7,-4.284,0.771,0.761,6351, True
GO:0097659," ""nucleic acid-templated transcription""",2.031, null, null,5.667,-6.379,0.714,0.952,6351, True
GO:0008152," ""metabolic process""",62.634,-5.465,-2.461,7.156,-12.415,1,0,-1, False
GO:0009987," ""cellular process""",79.11,-4.808,-3.634,7.257,-2.896,1,0,-1, False
GO:0033036," ""macromolecule localization""",3.582,-3.502,-4.797,5.913,-2.222,0.994,0,-1, False
GO:0048523," ""negative regulation of cellular process""",2.15,-3.897,5.4,5.691,-5.588,0.666,0,-1, False
GO:0051253," ""negative regulation of RNA metabolic process""",0.694, null, null,5.201,-2.598,0.633,0.814,48523, True
GO:0045934," ""negative regulation of nucleobase-containing compound metabolic process""",0.749, null, null,5.233,-2.754,0.631,0.868,48523, True
GO:0031324," ""negative regulation of cellular metabolic process""",1.406, null, null,5.507,-5.194,0.616,0.885,48523, True
GO:0009890," ""negative regulation of biosynthetic process""",0.914, null, null,5.32,-1.7,0.629,0.887,48523, True
GO:0009892," ""negative regulation of metabolic process""",1.75, null, null,5.602,-5.358,0.617,0.91,48523, True
GO:0051172," ""negative regulation of nitrogen compound metabolic process""",1.309, null, null,5.476,-3.825,0.62,0.924,48523, True
GO:0010605," ""negative regulation of macromolecule metabolic process""",1.653, null, null,5.577,-4.171,0.612,0.95,48523, True
GO:0006974," ""cellular response to DNA damage stimulus""",2.542,-5.625,-0.538,5.764,-6.146,0.935,0.013,-1, False
GO:0033554," ""cellular response to stress""",3.091, null, null,5.849,-4.991,0.936,0.827,6974, True
GO:0006281," ""DNA repair""",2.38, null, null,5.736,-1.346,0.713,0.909,6974, True
GO:0051276," ""chromosome organization""",2.083,-1.128,-6.399,5.678,-5.267,0.927,0.013,-1, False
GO:0071840," ""cellular component organization or biogenesis""",9.154,-3.59,-2.518,6.321,-5.362,0.986,0.016,-1, False
GO:0044237," ""cellular metabolic process""",51.477,4.308,-4.759,7.071,-15.719,0.889,0.076,-1, False
GO:0009058," ""biosynthetic process""",24.708,2.388,-6.431,6.752,-6.889,0.916,0.17,-1, False
GO:0034641," ""cellular nitrogen compound metabolic process""",26.444,5.02,-1.673,6.781,-11.971,0.846,0.175,-1, False
GO:0043170," ""macromolecule metabolic process""",34.507,2.735,-2.774,6.897,-15.062,0.878,0.202,-1, False
GO:1901360," ""organic cyclic compound metabolic process""",22.607,1.338,-2.867,6.713,-11.016,0.892,0.209,-1, False
GO:0046483," ""heterocycle metabolic process""",21.847,5.935,-3.43,6.698,-11.876,0.879,0.226,-1, False
GO:0006725," ""cellular aromatic compound metabolic process""",21.889,6.445,-3.177,6.699,-11.408,0.879,0.226,-1, False
GO:2001020," ""regulation of response to DNA damage stimulus""",0.086,-4.813,3.267,4.294,-1.888,0.787,0.239,-1, False
GO:0080135," ""regulation of cellular response to stress""",0.182, null, null,4.619,-1.434,0.773,0.847,2001020, True
GO:0006807," ""nitrogen compound metabolic process""",45.593,2.984,-4.993,7.018,-13.46,0.898,0.241,-1, False
GO:0044238," ""primary metabolic process""",49.956,3.807,-4.929,7.058,-12.585,0.894,0.257,-1, False
GO:0018193," ""peptidyl-amino acid modification""",2.741,3.218,5.813,5.797,-1.8,0.81,0.271,-1, False
GO:0006464," ""cellular protein modification process""",8.917, null, null,6.309,-6.526,0.771,0.732,18193, True
GO:0036211," ""protein modification process""",8.917, null, null,6.309,-6.526,0.792,0.808,18193, True
GO:0071704," ""organic substance metabolic process""",55.166,3.574,-4.367,7.101,-12.356,0.89,0.278,-1, False
GO:0044260," ""cellular macromolecule metabolic process""",25.538,3.767,0.942,6.766,-14.599,0.784,0.281,-1, False
GO:0065009," ""regulation of molecular function""",2.07,-4.539,4.279,5.675,-1.748,0.755,0.296,-1, False
GO:0048583," ""regulation of response to stimulus""",1.204,-3.203,6.083,5.44,-1.372,0.755,0.296,-1, False
GO:0051173," ""positive regulation of nitrogen compound metabolic process""",1.258,-4.28,4.909,5.459,-4.924,0.578,0.298,-1, False
GO:0009893," ""positive regulation of metabolic process""",1.408, null, null,5.508,-4.469,0.59,0.869,51173, True
GO:0051254," ""positive regulation of RNA metabolic process""",0.784, null, null,5.254,-4.05,0.584,0.911,51173, True
GO:0045935," ""positive regulation of nucleobase-containing compound metabolic process""",0.834, null, null,5.28,-4.754,0.586,0.917,51173, True
GO:0048522," ""positive regulation of cellular process""",1.99, null, null,5.658,-2.847,0.621,0.918,51173, True
GO:0009891," ""positive regulation of biosynthetic process""",0.85, null, null,5.288,-1.879,0.592,0.919,51173, True
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332, null, null,5.484,-4.757,0.577,0.967,51173, True
GO:0045893," ""positive regulation of transcription DNA-templated""",0.701, null, null,5.205,-3.259,0.583,0.968,51173, True
GO:0010557," ""positive regulation of macromolecule biosynthetic process""",0.819, null, null,5.272,-2.729,0.586,0.968,51173, True
GO:1902680," ""positive regulation of RNA biosynthetic process""",0.701, null, null,5.205,-3.248,0.583,0.97,51173, True
GO:0031325," ""positive regulation of cellular metabolic process""",1.313, null, null,5.477,-4.503,0.575,0.972,51173, True
GO:0031328," ""positive regulation of cellular biosynthetic process""",0.844, null, null,5.286,-2.251,0.583,0.987,51173, True
GO:1903508," ""positive regulation of nucleic acid-templated transcription""",0.701, null, null,5.205,-3.259,0.583,0.993,51173, True
GO:0033365," ""protein localization to organelle""",0.628,-3.243,-4.523,5.157,-1.301,0.984,0.31,-1, False
GO:0048519," ""negative regulation of biological process""",2.524,-3.476,5.289,5.761,-5.105,0.732,0.325,-1, False
GO:0048518," ""positive regulation of biological process""",2.158,-3.507,5.74,5.693,-1.819,0.737,0.325,-1, False
