TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,4.123,-6.961,5.302,-11.955,1,0,-1, False
GO:0007275," ""multicellular organism development""",1.649,1.937,-6.203,5.576,-20.438,0.814,0,-1, False
GO:0001568," ""blood vessel development""",0.116, null, null,4.422,-14.117,0.83,0.702,7275, True
GO:0048608," ""reproductive structure development""",0.141, null, null,4.509,-4.042,0.831,0.715,7275, True
GO:0061458," ""reproductive system development""",0.142, null, null,4.511,-3.889,0.836,0.716,7275, True
GO:0035239," ""tube morphogenesis""",0.169, null, null,4.587,-12.573,0.829,0.728,7275, True
GO:0048729," ""tissue morphogenesis""",0.155, null, null,4.549,-4.996,0.852,0.733,7275, True
GO:0072359," ""circulatory system development""",0.217, null, null,4.696,-10.553,0.831,0.745,7275, True
GO:0035295," ""tube development""",0.221, null, null,4.703,-12.78,0.836,0.746,7275, True
GO:0009887," ""animal organ morphogenesis""",0.235, null, null,4.73,-8.662,0.82,0.757,7275, True
GO:0009790," ""embryo development""",0.299, null, null,4.834,-4.793,0.832,0.769,7275, True
GO:0061298," ""retina vasculature development in camera-type eye""",0.003, null, null,2.879,-3.732,0.86,0.781,7275, True
GO:0009888," ""tissue development""",0.456, null, null,5.018,-8.611,0.853,0.804,7275, True
GO:0048646," ""anatomical structure formation involved in morphogenesis""",0.348, null, null,4.901,-6.411,0.847,0.804,7275, True
GO:0002009," ""morphogenesis of an epithelium""",0.131, null, null,4.475,-3.435,0.851,0.819,7275, True
GO:0000902," ""cell morphogenesis""",0.316, null, null,4.858,-3.744,0.848,0.825,7275, True
GO:0048513," ""animal organ development""",0.731, null, null,5.223,-12.234,0.814,0.846,7275, True
GO:0030154," ""cell differentiation""",1.023, null, null,5.369,-12.481,0.836,0.852,7275, True
GO:0048869," ""cellular developmental process""",1.041, null, null,5.376,-13.02,0.842,0.854,7275, True
GO:0007399," ""nervous system development""",0.548, null, null,5.098,-3.274,0.818,0.859,7275, True
GO:0009653," ""anatomical structure morphogenesis""",0.866, null, null,5.297,-16.201,0.845,0.862,7275, True
GO:0060429," ""epithelium development""",0.257, null, null,4.768,-3.958,0.853,0.863,7275, True
GO:0061138," ""morphogenesis of a branching epithelium""",0.033, null, null,3.882,-3.723,0.845,0.882,7275, True
GO:0022008," ""neurogenesis""",0.356, null, null,4.911,-4.717,0.816,0.884,7275, True
GO:0048666," ""neuron development""",0.231, null, null,4.722,-3.016,0.82,0.884,7275, True
GO:0048731," ""system development""",1.223, null, null,5.446,-18.64,0.813,0.897,7275, True
GO:0001944," ""vasculature development""",0.126, null, null,4.458,-15.22,0.83,0.911,7275, True
GO:0048468," ""cell development""",0.486, null, null,5.045,-3.319,0.842,0.912,7275, True
GO:0048856," ""anatomical structure development""",2.035, null, null,5.668,-21.049,0.838,0.925,7275, True
GO:0001525," ""angiogenesis""",0.072, null, null,4.219,-7.928,0.828,0.953,7275, True
GO:0048514," ""blood vessel morphogenesis""",0.096, null, null,4.341,-12.028,0.825,0.973,7275, True
GO:0008152," ""metabolic process""",62.634,-0.773,7.519,7.156,-16.442,1,0,-1, False
GO:0009987," ""cellular process""",79.11,-3.327,3.722,7.257,-16.339,1,0,-1, False
GO:0016032," ""viral process""",0.155,5.068,-6.658,4.549,-5.037,1,0,-1, False
GO:0019058," ""viral life cycle""",0.126,-1.669,3.35,4.458,-3.635,0.997,0,-1, False
GO:0022610," ""biological adhesion""",0.553,3.638,-7.272,5.101,-7.305,1,0,-1, False
GO:0023052," ""signaling""",7.215,-2.67,2.753,6.217,-5.173,1,0,-1, False
GO:0032501," ""multicellular organismal process""",2.57,0.005,-7.262,5.769,-5.701,1,0,-1, False
GO:0032502," ""developmental process""",2.266,-1.358,7.822,5.714,-19.83,1,0,-1, False
GO:0040007," ""growth""",0.122,-1.684,4.901,4.447,-3.773,1,0,-1, False
GO:0040011," ""locomotion""",0.96,-1.994,6.703,5.341,-9.462,1,0,-1, False
GO:0044419," ""biological process involved in interspecies interaction between organisms""",0.755,-4.386,3.751,5.237,-13.307,1,0,-1, False
GO:0048523," ""negative regulation of cellular process""",2.15,6.701,-0.774,5.691,-26.081,0.685,0,-1, False
GO:0031324," ""negative regulation of cellular metabolic process""",1.406, null, null,5.507,-11.446,0.667,0.885,48523, True
GO:0031327," ""negative regulation of cellular biosynthetic process""",0.908, null, null,5.317,-4.959,0.674,0.887,48523, True
GO:0009890," ""negative regulation of biosynthetic process""",0.914, null, null,5.32,-5.73,0.683,0.887,48523, True
GO:0009892," ""negative regulation of metabolic process""",1.75, null, null,5.602,-12.483,0.672,0.91,48523, True
GO:0051172," ""negative regulation of nitrogen compound metabolic process""",1.309, null, null,5.476,-10.316,0.674,0.924,48523, True
GO:0010605," ""negative regulation of macromolecule metabolic process""",1.653, null, null,5.577,-10.889,0.667,0.95,48523, True
GO:2000113," ""negative regulation of cellular macromolecule biosynthetic process""",0.88, null, null,5.304,-3.76,0.675,0.986,48523, True
GO:0010558," ""negative regulation of macromolecule biosynthetic process""",0.882, null, null,5.305,-4.249,0.681,0.986,48523, True
GO:0050896," ""response to stimulus""",12.913,-5.076,4.766,6.47,-10.682,1,0,-1, False
GO:0051179," ""localization""",19.753,-1.527,2.327,6.655,-12.839,1,0,-1, False
GO:0065007," ""biological regulation""",22.821,-3.815,2.758,6.717,-15.947,1,0,-1, False
GO:0070887," ""cellular response to chemical stimulus""",1.821,3.469,5.778,5.619,-31.34,0.837,0,-1, False
GO:1901700," ""response to oxygen-containing compound""",0.566, null, null,5.112,-8.979,0.858,0.716,70887, True
GO:0071310," ""cellular response to organic substance""",0.683, null, null,5.193,-29.66,0.827,0.731,70887, True
GO:1901701," ""cellular response to oxygen-containing compound""",0.406, null, null,4.968,-9.629,0.846,0.75,70887, True
GO:0010033," ""response to organic substance""",0.993, null, null,5.356,-23.063,0.851,0.763,70887, True
GO:0071363," ""cellular response to growth factor stimulus""",0.109, null, null,4.398,-8.107,0.844,0.774,70887, True
GO:0070848," ""response to growth factor""",0.112, null, null,4.409,-7.971,0.857,0.775,70887, True
GO:0071345," ""cellular response to cytokine stimulus""",0.159, null, null,4.56,-20.453,0.836,0.799,70887, True
GO:0034097," ""response to cytokine""",0.171, null, null,4.593,-22.306,0.853,0.804,70887, True
GO:0033993," ""response to lipid""",0.19, null, null,4.639,-3.318,0.851,0.812,70887, True
GO:0071346," ""cellular response to interferon-gamma""",0.013, null, null,3.462,-6.959,0.811,0.825,70887, True
GO:0034341," ""response to interferon-gamma""",0.016, null, null,3.568,-6.324,0.815,0.838,70887, True
GO:0019221," ""cytokine-mediated signaling pathway""",0.104, null, null,4.376,-11.133,0.677,0.955,70887, True
GO:0050673," ""epithelial cell proliferation""",0.017,-5.366,4.057,3.602,-3.072,0.991,0.008,-1, False
GO:0008283," ""cell population proliferation""",0.101,-0.615,8.085,4.362,-9.053,0.996,0.009,-1, False
GO:0016477," ""cell migration""",0.206,-5.751,2.482,4.673,-13.271,0.947,0.01,-1, False
