TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0006996," ""organelle organization""",4.279,1.085,8.249,5.99,-6.445,0.93,0,-1, False
GO:0044085," ""cellular component biogenesis""",4.965, null, null,6.055,-1.501,0.932,0.706,6996, True
GO:0016043," ""cellular component organization""",7.49, null, null,6.234,-5.975,0.928,0.777,6996, True
GO:0008152," ""metabolic process""",62.634,5.208,-4.168,7.156,-15.721,1,0,-1, False
GO:0009987," ""cellular process""",79.11,3.755,-5.533,7.257,-5.052,1,0,-1, False
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332,5.189,1.259,5.484,-6.717,0.536,0,-1, False
GO:0051130," ""positive regulation of cellular component organization""",0.327, null, null,4.874,-1.838,0.649,0.748,10604, True
GO:0009893," ""positive regulation of metabolic process""",1.408, null, null,5.508,-6.315,0.548,0.875,10604, True
GO:0051254," ""positive regulation of RNA metabolic process""",0.784, null, null,5.254,-2.094,0.546,0.917,10604, True
GO:0048522," ""positive regulation of cellular process""",1.99, null, null,5.658,-5.255,0.585,0.918,10604, True
GO:0010557," ""positive regulation of macromolecule biosynthetic process""",0.819, null, null,5.272,-3.089,0.546,0.921,10604, True
GO:0045935," ""positive regulation of nucleobase-containing compound metabolic process""",0.834, null, null,5.28,-4.498,0.547,0.923,10604, True
GO:0009891," ""positive regulation of biosynthetic process""",0.85, null, null,5.288,-2.723,0.551,0.925,10604, True
GO:0051173," ""positive regulation of nitrogen compound metabolic process""",1.258, null, null,5.459,-5.648,0.537,0.967,10604, True
GO:0045893," ""positive regulation of transcription DNA-templated""",0.701, null, null,5.205,-1.439,0.544,0.968,10604, True
GO:1902680," ""positive regulation of RNA biosynthetic process""",0.701, null, null,5.205,-1.429,0.544,0.97,10604, True
GO:0031325," ""positive regulation of cellular metabolic process""",1.313, null, null,5.477,-5.845,0.534,0.972,10604, True
GO:0031328," ""positive regulation of cellular biosynthetic process""",0.844, null, null,5.286,-2.418,0.542,0.987,10604, True
GO:1903508," ""positive regulation of nucleic acid-templated transcription""",0.701, null, null,5.205,-1.439,0.544,0.993,10604, True
GO:0006351," ""transcription DNA-templated""",2.005,-5.345,3.08,5.661,-5.799,0.748,0.014,-1, False
GO:0006366," ""transcription by RNA polymerase II""",0.219, null, null,4.7,-3.689,0.805,0.761,6351, True
GO:0097659," ""nucleic acid-templated transcription""",2.031, null, null,5.667,-5.78,0.758,0.952,6351, True
GO:0051641," ""cellular localization""",2.368,2.192,-6.664,5.733,-2.67,0.97,0.014,-1, False
