TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,-0.348,3.736,5.302,-4.054,1,0,-1, False
GO:0002520," ""immune system development""",0.155,-3.069,5.928,4.55,-1.936,0.962,0,-1, False
GO:0048534," ""hematopoietic or lymphoid organ development""",0.15, null, null,4.535,-1.635,0.958,0.724,2520, True
GO:0006955," ""immune response""",0.683, null, null,5.193,-1.337,0.847,0.82,2520, True
GO:0030098," ""lymphocyte differentiation""",0.044, null, null,4.004,-1.359,0.955,0.908,2520, True
GO:0008152," ""metabolic process""",62.634,-0.227,6.444,7.156,-10.536,1,0,-1, False
GO:0010604," ""positive regulation of macromolecule metabolic process""",1.332,-5.074,-3.11,5.484,-6.108,0.596,0,-1, False
GO:0001819," ""positive regulation of cytokine production""",0.079, null, null,4.254,-2.003,0.676,0.733,10604, True
GO:0010628," ""positive regulation of gene expression""",0.281, null, null,4.808,-2.177,0.648,0.825,10604, True
GO:0045944," ""positive regulation of transcription by RNA polymerase II""",0.393, null, null,4.954,-1.326,0.618,0.853,10604, True
GO:0009893," ""positive regulation of metabolic process""",1.408, null, null,5.508,-5.359,0.611,0.875,10604, True
GO:0051254," ""positive regulation of RNA metabolic process""",0.784, null, null,5.254,-3.496,0.603,0.917,10604, True
GO:0048522," ""positive regulation of cellular process""",1.99, null, null,5.658,-3.046,0.617,0.918,10604, True
GO:0010557," ""positive regulation of macromolecule biosynthetic process""",0.819, null, null,5.272,-4.719,0.604,0.921,10604, True
GO:0045935," ""positive regulation of nucleobase-containing compound metabolic process""",0.834, null, null,5.28,-4.004,0.606,0.923,10604, True
GO:0009891," ""positive regulation of biosynthetic process""",0.85, null, null,5.288,-4.385,0.611,0.925,10604, True
GO:0051173," ""positive regulation of nitrogen compound metabolic process""",1.258, null, null,5.459,-3.561,0.597,0.967,10604, True
GO:0045893," ""positive regulation of transcription  DNA-templated""",0.701, null, null,5.205,-3.89,0.602,0.968,10604, True
GO:1902680," ""positive regulation of RNA biosynthetic process""",0.701, null, null,5.205,-3.879,0.603,0.97,10604, True
GO:0031325," ""positive regulation of cellular metabolic process""",1.313, null, null,5.477,-3.546,0.592,0.972,10604, True
GO:0031328," ""positive regulation of cellular biosynthetic process""",0.844, null, null,5.286,-4.509,0.6,0.987,10604, True
GO:1903508," ""positive regulation of nucleic acid-templated transcription""",0.701, null, null,5.205,-3.89,0.602,0.993,10604, True
GO:0016032," ""viral process""",0.155,-1.314,5.103,4.549,-1.62,1,0,-1, False
GO:0044419," ""biological process involved in interspecies interaction between organisms""",0.755,1.146,6.411,5.237,-4.097,1,0,-1, False
GO:0071310," ""cellular response to organic substance""",0.683,-4.319,2.997,5.193,-7.848,0.804,0,-1, False
GO:0070887," ""cellular response to chemical stimulus""",1.821, null, null,5.619,-6.457,0.814,0.731,71310, True
GO:1901701," ""cellular response to oxygen-containing compound""",0.406, null, null,4.968,-3.345,0.822,0.75,71310, True
GO:0010033," ""response to organic substance""",0.993, null, null,5.356,-5.662,0.832,0.763,71310, True
GO:1901652," ""response to peptide""",0.061, null, null,4.147,-1.697,0.835,0.798,71310, True
GO:0071345," ""cellular response to cytokine stimulus""",0.159, null, null,4.56,-3.797,0.821,0.799,71310, True
GO:0034097," ""response to cytokine""",0.171, null, null,4.593,-6.285,0.832,0.804,71310, True
GO:0010243," ""response to organonitrogen compound""",0.224, null, null,4.709,-1.401,0.826,0.885,71310, True
