TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0008152," ""metabolic process""",62.63410276,3.402004455,5.038337481,7.155901042,-5.754487332,1,0, null, False
GO:0022407," ""regulation of cell-cell adhesion""",0.072066806,2.03775393,-5.512481905,4.216851783,-3.984296634,0.739410512,0, null, False
GO:1903037," ""regulation of leukocyte cell-cell adhesion""",0.050733281, null, null,4.064420548,-3.072124794,0.732085715,0.89706433,22407, True
GO:0045785," ""positive regulation of cell adhesion""",0.068764199, null, null,4.196480168,-1.590292583,0.728019872,0.91585523,22407, True
GO:1903039," ""positive regulation of leukocyte cell-cell adhesion""",0.034172133, null, null,3.892817824,-1.95317988,0.72007093,0.92885193,22407, True
GO:0022409," ""positive regulation of cell-cell adhesion""",0.040834211, null, null,3.970160843,-2.888069416,0.722640463,0.93960179,22407, True
GO:0050870," ""positive regulation of T cell activation""",0.03125884, null, null,3.854123782,-1.485252279,0.651728534,0.9718604,22407, True
GO:0034660," ""ncRNA metabolic process""",3.716197551,-6.99153741,-3.27895514,5.929189455,-3.213695876,0.749561793,0, null, False
GO:0006396," ""RNA processing""",3.78897737, null, null,5.937612664,-1.692318239,0.748807556,0.70457648,34660, True
GO:0007159," ""leukocyte cell-cell adhesion""",0.008354938,4.425499337,2.484960734,3.281260687,-3.084352218,0.96513011,0.0077199, null, False
GO:0048193," ""Golgi vesicle transport""",0.365574455,4.471417826,-1.718228329,4.922071189,-2.114670109,0.976538721,0.01099604, null, False
GO:0006996," ""organelle organization""",4.278607339,-1.996443029,-7.719116761,5.990393027,-2.175562979,0.984647396,0.01519363, null, False
GO:0044237," ""cellular metabolic process""",51.4774745,-5.635254982,5.188264501,7.07070742,-8.761953897,0.825577815,0.08837124, null, False
GO:0009056," ""catabolic process""",5.896941275,2.008712156,6.74471034,6.129717276,-1.72530096,0.91016422,0.10004697, null, False
GO:0019637," ""organophosphate metabolic process""",6.558333016,-0.57942951,-1.702333346,6.175883906,-1.874941263,0.83342137,0.10709899, null, False
GO:0006796," ""phosphate-containing compound metabolic process""",14.03133049, null, null,6.506189141,-1.696445743,0.820064947,0.70986915,19637, True
GO:0044281," ""small molecule metabolic process""",15.88941177,-1.291000446,7.737818621,6.560198091,-1.751500648,0.885405779,0.13965823, null, False
GO:0046483," ""heterocycle metabolic process""",21.84697665,-7.519803347,3.176404884,6.698481583,-4.040958608,0.825465173,0.16000871, null, False
GO:0050863," ""regulation of T cell activation""",0.054661414,1.078828466,-6.251365083,4.09680577,-2.366816858,0.80385248,0.17643764, null, False
GO:0002819," ""regulation of adaptive immune response""",0.028971075, null, null,3.821120324,-1.644653838,0.831791686,0.74515074,50863, True
GO:0031295," ""T cell costimulation""",0.004505542, null, null,3.013258665,-2.199935816,0.682131337,0.81630714,50863, True
GO:0031294," ""lymphocyte costimulation""",0.004706761, null, null,3.032215703,-1.860780409,0.782747996,0.81834802,50863, True
GO:0006793," ""phosphorus metabolic process""",14.3346191,-1.378968672,0.748715619,6.515476441,-1.937989743,0.844095804,0.1860504, null, False
GO:0030155," ""regulation of cell adhesion""",0.128556683,2.783287743,-4.736154647,4.468199586,-1.696182914,0.918284155,0.18729949, null, False
GO:1901564," ""organonitrogen compound metabolic process""",32.35996851,-5.49012016,0.944628757,6.8690983,-4.2644011,0.778818865,0.195082, null, False
GO:1901360," ""organic cyclic compound metabolic process""",22.60653672,-2.08406266,3.3699223,6.71332427,-3.632552756,0.841084648,0.20394969, null, False
GO:0006725," ""cellular aromatic compound metabolic process""",21.88868135,-8.129064348,2.437314687,6.699309837,-3.473530195,0.825370692,0.21195359, null, False
GO:0006807," ""nitrogen compound metabolic process""",45.59332371,-3.87856631,5.84374297,7.017991446,-6.427128398,0.837188826,0.24122534, null, False
GO:0043170," ""macromolecule metabolic process""",34.5065751,-4.016628602,2.767779005,6.896992063,-3.010513251,0.818247947,0.24329365, null, False
GO:0043412," ""macromolecule modification""",11.10679609,-4.604078004,-4.106788068,6.404679121,-5.030118356,0.803004092,0.25386262, null, False
GO:0044238," ""primary metabolic process""",49.95633342,-4.998565292,5.59550937,7.057680745,-6.910094889,0.831118282,0.25745828, null, False
GO:0071704," ""organic substance metabolic process""",55.16604389,-4.335619317,4.862244797,7.100762026,-6.04431225,0.824124884,0.27774621, null, False
GO:0046907," ""intracellular transport""",1.822430628,4.609493716,-1.051378256,5.619742199,-1.751060363,0.973924623,0.2806382, null, False
GO:0006464," ""cellular protein modification process""",8.917001918,-5.28250584,-2.419065551,6.309309224,-3.533725678,0.746458844,0.30201083, null, False
GO:0036211," ""protein modification process""",8.917001918, null, null,6.309309224,-3.533725678,0.761617807,0.80817483,6464, True
GO:0034641," ""cellular nitrogen compound metabolic process""",26.44372777,-6.729362651,1.068540445,6.781412901,-2.594774569,0.77785031,0.34763668, null, False
GO:0044260," ""cellular macromolecule metabolic process""",25.53784693,-4.999218233,-0.372262063,6.766274505,-1.776568987,0.732220499,0.39120816, null, False
GO:0019538," ""protein metabolic process""",19.81717297,-5.803556098,-1.632778406,6.656131947,-1.641566743,0.750962316,0.46712451, null, False
GO:0006139," ""nucleobase-containing compound metabolic process""",18.96363078,-7.102464227,-0.486321717,6.637011743,-3.654561571,0.738817503,0.47982389, null, False
GO:0055086," ""nucleobase-containing small molecule metabolic process""",5.18343397,-8.329937316,-2.429695249,6.073708088,-2.617326066,0.792316525,0.51436681, null, False
GO:0033631," ""cell-cell adhesion mediated by integrin""",0.001097953,4.505886051,2.175303503,2.401400541,-1.554852061,0.966165627,0.58914848, null, False
GO:0044267," ""cellular protein metabolic process""",15.13993886,-5.411090325,-1.233624561,6.539214398,-2.628496583,0.729162555,0.60294678, null, False
