"","x"
"1","young"
"2","young"
"3","young"
"4","young"
"5","young"
"6","young"
"7","young"
"8","young"
"9","young"
"10","young"
"11","young"
"12","young"
"13","young"
"14","young"
"15","young"
"16","young"
"17","young"
"18","young"
"19","young"
"20","young"
"21","young"
"22","young"
"23","young"
"24","young"
"25","young"
"26","young"
"27","young"
"28","young"
"29","young"
"30","young"
"31","young"
"32","young"
"33","young"
"34","young"
"35","young"
"36","young"
"37","young"
"38","young"
"39","young"
"40","young"
"41","young"
"42","young"
"43","young"
"44","young"
"45","young"
"46","young"
"47","young"
"48","young"
"49","young"
"50","young"
"51","young"
"52","young"
"53","young"
"54","young"
"55","young"
"56","young"
"57","young"
"58","young"
"59","young"
"60","young"
"61","young"
"62","young"
"63","young"
"64","young"
"65","young"
"66","young"
"67","young"
"68","young"
"69","young"
"70","young"
"71","young"
"72","young"
"73","young"
"74","young"
"75","young"
"76","young"
"77","young"
"78","young"
"79","young"
"80","young"
"81","young"
"82","young"
"83","young"
"84","young"
"85","young"
"86","young"
"87","young"
"88","young"
"89","young"
"90","young"
"91","young"
"92","young"
"93","young"
"94","young"
"95","young"
"96","young"
"97","young"
"98","young"
"99","young"
"100","young"
"101","young"
"102","young"
"103","young"
"104","young"
"105","young"
"106","young"
"107","young"
"108","young"
"109","young"
"110","young"
"111","young"
"112","young"
"113","young"
"114","young"
"115","young"
"116","young"
"117","young"
"118","young"
"119","young"
"120","young"
"121","young"
"122","young"
"123","young"
"124","young"
"125","young"
"126","young"
"127","young"
"128","young"
"129","young"
"130","young"
"131","young"
"132","young"
"133","young"
"134","young"
"135","young"
"136","young"
"137","young"
"138","young"
"139","young"
"140","young"
"141","young"
"142","young"
"143","young"
"144","young"
"145","young"
"146","young"
"147","young"
"148","young"
"149","young"
"150","young"
"151","young"
"152","young"
"153","young"
"154","young"
"155","young"
"156","young"
"157","young"
"158","young"
"159","young"
"160","young"
"161","young"
"162","young"
"163","young"
"164","young"
"165","young"
"166","young"
"167","young"
"168","young"
"169","young"
"170","young"
"171","young"
"172","young"
"173","young"
"174","young"
"175","young"
"176","young"
"177","young"
"178","young"
"179","young"
"180","young"
"181","young"
"182","young"
"183","young"
"184","young"
"185","young"
"186","young"
"187","young"
"188","young"
"189","young"
"190","young"
"191","young"
"192","young"
"193","young"
"194","young"
"195","young"
"196","young"
"197","young"
"198","young"
"199","young"
"200","young"
"201","young"
"202","young"
"203","young"
"204","young"
"205","young"
"206","young"
"207","young"
"208","young"
"209","young"
"210","young"
"211","young"
"212","young"
"213","young"
"214","young"
"215","young"
"216","young"
"217","young"
"218","young"
"219","young"
"220","young"
"221","young"
"222","young"
"223","young"
"224","young"
"225","young"
"226","young"
"227","young"
"228","young"
"229","young"
"230","young"
"231","young"
"232","young"
"233","young"
"234","young"
"235","young"
"236","young"
"237","young"
"238","young"
"239","young"
"240","young"
"241","young"
"242","young"
"243","young"
"244","young"
"245","young"
"246","young"
"247","young"
"248","young"
"249","young"
"250","young"
"251","young"
"252","young"
"253","young"
"254","young"
"255","young"
"256","young"
"257","young"
"258","young"
"259","young"
"260","young"
"261","young"
"262","young"
"263","young"
"264","young"
"265","young"
"266","young"
"267","young"
"268","young"
"269","young"
"270","young"
"271","young"
"272","young"
"273","young"
"274","young"
"275","young"
"276","young"
"277","young"
"278","young"
"279","young"
"280","young"
"281","young"
"282","young"
"283","young"
"284","young"
"285","young"
"286","young"
"287","young"
"288","young"
"289","young"
"290","young"
"291","young"
"292","young"
"293","young"
"294","young"
"295","young"
"296","young"
"297","young"
"298","young"
"299","young"
"300","young"
"301","young"
"302","young"
"303","young"
"304","young"
"305","young"
"306","young"
"307","young"
"308","young"
"309","young"
"310","young"
"311","young"
"312","young"
"313","young"
"314","young"
"315","young"
"316","young"
"317","young"
"318","young"
"319","young"
"320","young"
"321","young"
"322","young"
"323","young"
"324","young"
"325","young"
"326","young"
"327","young"
"328","young"
"329","young"
"330","young"
"331","young"
"332","young"
"333","young"
"334","young"
"335","young"
"336","young"
"337","young"
"338","young"
"339","young"
"340","young"
"341","young"
"342","young"
"343","young"
"344","young"
"345","young"
"346","young"
"347","young"
"348","young"
"349","young"
"350","young"
"351","young"
"352","young"
"353","young"
"354","young"
"355","young"
"356","young"
"357","young"
"358","young"
"359","young"
"360","young"
"361","young"
"362","young"
"363","young"
"364","young"
"365","young"
"366","young"
"367","young"
"368","young"
"369","young"
"370","young"
"371","young"
"372","young"
"373","young"
"374","young"
"375","young"
"376","young"
"377","young"
"378","young"
"379","young"
"380","young"
"381","young"
"382","young"
"383","young"
"384","young"
"385","young"
"386","young"
"387","young"
"388","young"
"389","young"
"390","young"
"391","young"
"392","young"
"393","young"
"394","young"
"395","young"
"396","young"
"397","young"
"398","young"
"399","young"
"400","young"
"401","young"
"402","young"
"403","young"
"404","young"
"405","young"
"406","young"
"407","young"
"408","young"
"409","young"
"410","young"
"411","young"
"412","young"
"413","young"
"414","young"
"415","young"
"416","young"
"417","young"
"418","young"
"419","young"
"420","young"
"421","young"
"422","young"
"423","young"
"424","young"
"425","young"
"426","young"
"427","young"
"428","young"
"429","young"
"430","young"
"431","young"
"432","young"
"433","young"
"434","young"
"435","young"
"436","young"
"437","young"
"438","young"
"439","young"
"440","young"
"441","young"
"442","young"
"443","young"
"444","young"
"445","young"
"446","young"
"447","young"
"448","young"
"449","young"
"450","young"
"451","young"
"452","young"
"453","young"
"454","young"
"455","young"
"456","young"
"457","young"
"458","young"
"459","young"
"460","young"
"461","young"
"462","young"
"463","young"
"464","young"
"465","young"
"466","young"
"467","young"
"468","young"
"469","young"
"470","young"
"471","young"
"472","young"
"473","young"
"474","young"
"475","young"
"476","young"
"477","young"
"478","young"
"479","young"
"480","young"
"481","young"
"482","young"
"483","young"
"484","young"
"485","young"
"486","young"
"487","young"
"488","young"
"489","young"
"490","young"
"491","young"
"492","young"
"493","young"
"494","young"
"495","young"
"496","young"
"497","young"
"498","young"
"499","young"
"500","young"
"501","young"
"502","young"
"503","young"
"504","young"
"505","young"
"506","young"
"507","young"
"508","young"
"509","young"
"510","young"
"511","young"
"512","young"
"513","young"
"514","young"
"515","young"
"516","young"
"517","young"
"518","young"
"519","young"
"520","young"
"521","young"
"522","young"
"523","young"
"524","young"
"525","young"
"526","young"
"527","young"
"528","young"
"529","young"
"530","young"
"531","young"
"532","young"
"533","young"
"534","young"
"535","young"
"536","young"
"537","young"
"538","young"
"539","young"
"540","young"
"541","young"
"542","young"
"543","young"
"544","young"
"545","young"
"546","young"
"547","young"
"548","young"
"549","young"
"550","young"
"551","young"
"552","young"
"553","young"
