"","x"
"1","8"
"2","7"
"3","0"
"4","12"
"5","6"
"6","0"
"7","11"
"8","0"
"9","2"
"10","0"
"11","6"
"12","0"
"13","1"
"14","4"
"15","10"
"16","5"
"17","0"
"18","3"
"19","0"
"20","0"
"21","0"
"22","0"
"23","10"
"24","5"
"25","1"
"26","9"
"27","4"
"28","0"
"29","6"
"30","0"
"31","14"
"32","3"
"33","5"
"34","4"
"35","0"
"36","2"
"37","0"
"38","3"
"39","11"
"40","4"
"41","0"
"42","0"
"43","10"
"44","8"
"45","2"
"46","9"
"47","0"
"48","2"
"49","0"
"50","0"
"51","0"
"52","1"
"53","4"
"54","0"
"55","0"
"56","0"
"57","2"
"58","2"
"59","4"
"60","5"
"61","7"
"62","14"
"63","10"
"64","2"
"65","4"
"66","0"
"67","4"
"68","0"
"69","5"
"70","0"
"71","3"
"72","0"
"73","8"
"74","3"
"75","4"
"76","3"
"77","0"
"78","10"
"79","0"
"80","6"
"81","14"
"82","10"
"83","0"
"84","0"
"85","13"
"86","2"
"87","5"
"88","11"
"89","4"
"90","6"
"91","3"
"92","3"
"93","14"
"94","2"
"95","0"
"96","8"
"97","3"
"98","11"
"99","8"
"100","3"
"101","0"
"102","9"
"103","9"
"104","3"
"105","5"
"106","0"
"107","4"
"108","0"
"109","0"
"110","13"
"111","0"
"112","4"
"113","6"
"114","11"
"115","4"
"116","5"
"117","15"
"118","6"
"119","2"
"120","3"
"121","2"
"122","7"
"123","0"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","6"
"130","0"
"131","6"
"132","2"
"133","7"
"134","13"
"135","0"
"136","14"
"137","6"
"138","0"
"139","0"
"140","6"
"141","0"
"142","2"
"143","3"
"144","0"
"145","0"
"146","0"
"147","0"
"148","3"
"149","0"
"150","2"
"151","8"
"152","0"
"153","0"
"154","4"
"155","3"
"156","6"
"157","7"
"158","3"
"159","11"
"160","11"
"161","8"
"162","15"
"163","3"
"164","3"
"165","13"
"166","0"
"167","0"
"168","0"
"169","0"
"170","0"
"171","2"
"172","3"
"173","0"
"174","0"
"175","6"
"176","0"
"177","0"
"178","0"
"179","2"
"180","0"
"181","7"
"182","0"
"183","1"
"184","0"
"185","14"
"186","0"
"187","10"
"188","2"
"189","10"
"190","4"
"191","2"
"192","8"
"193","8"
"194","2"
"195","6"
"196","0"
"197","0"
"198","0"
"199","13"
"200","3"
"201","0"
"202","0"
"203","3"
"204","0"
"205","6"
"206","2"
"207","2"
"208","2"
"209","3"
"210","0"
"211","1"
"212","0"
"213","0"
"214","4"
"215","7"
"216","3"
"217","3"
"218","0"
"219","3"
"220","8"
"221","0"
"222","0"
"223","2"
