"","x"
"1","6"
"2","8"
"3","0"
"4","10"
"5","2"
"6","0"
"7","2"
"8","0"
"9","3"
"10","0"
"11","2"
"12","0"
"13","1"
"14","5"
"15","9"
"16","1"
"17","0"
"18","4"
"19","0"
"20","0"
"21","0"
"22","0"
"23","9"
"24","1"
"25","14"
"26","7"
"27","5"
"28","0"
"29","2"
"30","0"
"31","11"
"32","4"
"33","1"
"34","5"
"35","0"
"36","3"
"37","0"
"38","4"
"39","2"
"40","5"
"41","0"
"42","0"
"43","9"
"44","6"
"45","3"
"46","7"
"47","0"
"48","3"
"49","0"
"50","0"
"51","3"
"52","3"
"53","5"
"54","0"
"55","0"
"56","0"
"57","14"
"58","0"
"59","5"
"60","14"
"61","8"
"62","11"
"63","13"
"64","3"
"65","5"
"66","0"
"67","5"
"68","0"
"69","1"
"70","0"
"71","4"
"72","0"
"73","6"
"74","4"
"75","5"
"76","4"
"77","0"
"78","9"
"79","0"
"80","2"
"81","11"
"82","9"
"83","0"
"84","0"
"85","12"
"86","3"
"87","1"
"88","2"
"89","5"
"90","2"
"91","4"
"92","4"
"93","11"
"94","3"
"95","0"
"96","6"
"97","4"
"98","2"
"99","6"
"100","4"
"101","0"
"102","7"
"103","7"
"104","4"
"105","1"
"106","0"
"107","5"
"108","0"
"109","0"
"110","12"
"111","0"
"112","5"
"113","2"
"114","2"
"115","5"
"116","14"
"117","13"
"118","2"
"119","14"
"120","4"
"121","14"
"122","8"
"123","5"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","2"
"130","0"
"131","2"
"132","14"
"133","8"
"134","12"
"135","0"
"136","11"
"137","2"
"138","0"
"139","0"
"140","2"
"141","0"
"142","3"
"143","4"
"144","0"
"145","0"
"146","0"
"147","0"
"148","4"
"149","0"
"150","3"
"151","6"
"152","0"
"153","0"
"154","5"
"155","4"
"156","2"
"157","8"
"158","4"
"159","14"
"160","2"
"161","6"
"162","13"
"163","4"
"164","4"
"165","12"
"166","0"
"167","0"
"168","0"
"169","0"
"170","0"
"171","14"
"172","4"
"173","0"
"174","0"
"175","2"
"176","0"
"177","0"
"178","0"
"179","3"
"180","0"
"181","8"
"182","0"
"183","3"
"184","0"
"185","11"
"186","0"
"187","9"
"188","3"
"189","9"
"190","5"
"191","3"
"192","6"
"193","6"
"194","3"
"195","2"
"196","0"
"197","0"
"198","0"
"199","12"
"200","4"
"201","0"
"202","0"
"203","4"
"204","0"
"205","2"
"206","3"
"207","3"
"208","3"
"209","4"
"210","0"
"211","1"
"212","0"
"213","0"
"214","5"
"215","8"
"216","4"
"217","4"
"218","0"
"219","4"
"220","6"
"221","0"
"222","0"
"223","3"
"224","0"
"225","1"
"226","4"
"227","2"
"228","8"
"229","3"
"230","4"
"231","0"
"232","14"
"233","0"
"234","6"
"235","5"
"236","3"
"237","5"
"238","9"
"239","4"
"240","3"
"241","0"
"242","0"
"243","4"
"244","4"
"245","1"
"246","3"
"247","0"
"248","3"
"249","0"
"250","9"
"251","5"
"252","14"
"253","4"
"254","5"
"255","1"
"256","12"
"257","2"
"258","0"
"259","2"
"260","0"
"261","0"
"262","0"
"263","0"
"264","4"
"265","2"
"266","0"
"267","0"
"268","8"
"269","4"
"270","4"
"271","9"
"272","0"
"273","4"
"274","0"
"275","10"
"276","3"
"277","4"
"278","9"
"279","4"
"280","7"
"281","0"
"282","1"
"283","0"
"284","13"
"285","0"
"286","8"
"287","11"
"288","0"
"289","0"
"290","2"
"291","5"
"292","0"
"293","10"
"294","0"
"295","5"
"296","0"
"297","0"
"298","0"
"299","3"
"300","14"
"301","12"
"302","0"
"303","2"
"304","5"
"305","0"
"306","8"
"307","0"
"308","11"
"309","0"
"310","0"
"311","0"
"312","0"
"313","6"
"314","2"
"315","4"
"316","4"
"317","6"
"318","0"
"319","9"
"320","13"
"321","0"
"322","7"
"323","6"
"324","2"
"325","9"
"326","4"
"327","11"
"328","0"
"329","5"
"330","7"
"331","4"
"332","9"
"333","5"
"334","13"
"335","4"
"336","4"
"337","4"
"338","5"
"339","9"
"340","8"
"341","0"
"342","0"
"343","9"
"344","13"
"345","9"
"346","1"
"347","0"
"348","0"
"349","6"
"350","5"
"351","3"
"352","5"
"353","2"
"354","7"
"355","1"
"356","9"
"357","0"
"358","6"
"359","0"
"360","5"
"361","11"
"362","0"
"363","4"
"364","8"
"365","0"
"366","4"
"367","0"
"368","4"
"369","0"
"370","0"
"371","3"
"372","0"
"373","0"
"374","0"
"375","4"
"376","0"
"377","5"
"378","7"
"379","14"
"380","0"
"381","0"
"382","2"
"383","0"
"384","9"
"385","0"
"386","0"
"387","0"
"388","0"
"389","13"
"390","3"
"391","0"
"392","0"
"393","13"
"394","2"
"395","1"
"396","14"
"397","0"
"398","5"
"399","0"
"400","5"
"401","4"
"402","12"
"403","0"
"404","2"
"405","5"
"406","2"
"407","6"
"408","8"
"409","4"
"410","4"
"411","4"
"412","0"
"413","4"
"414","0"
"415","2"
"416","0"
"417","4"
"418","5"
"419","12"
"420","5"
"421","3"
"422","0"
"423","3"
"424","2"
"425","0"
"426","9"
"427","1"
"428","3"
"429","0"
"430","0"
"431","0"
"432","11"
"433","2"
"434","0"
"435","0"
"436","6"
"437","0"
"438","3"
"439","8"
"440","0"
"441","11"
"442","2"
"443","0"
"444","7"
"445","0"
"446","1"
"447","0"
"448","8"
"449","3"
"450","0"
"451","3"
"452","3"
"453","0"
"454","0"
"455","4"
"456","9"
"457","8"
"458","5"
"459","1"
"460","4"
"461","6"
"462","2"
"463","6"
"464","4"
"465","3"
"466","0"
"467","0"
"468","6"
"469","4"
"470","0"
"471","0"
"472","0"
"473","0"
"474","2"
"475","0"
"476","3"
"477","0"
"478","1"
"479","4"
"480","11"
"481","2"
"482","6"
"483","0"
"484","0"
"485","5"
"486","0"
"487","0"
"488","3"
"489","3"
"490","2"
"491","9"
"492","9"
"493","2"
"494","0"
"495","7"
"496","6"
"497","0"
"498","0"
"499","0"
"500","0"
"501","9"
"502","0"
"503","4"
"504","2"
"505","4"
"506","0"
"507","2"
"508","0"
"509","1"
"510","0"
"511","3"
"512","4"
"513","6"
"514","5"
"515","0"
"516","5"
"517","5"
"518","9"
"519","7"
"520","0"
"521","12"
"522","5"
"523","4"
"524","5"
"525","0"
"526","0"
"527","13"
"528","2"
"529","7"
"530","13"
"531","0"
"532","4"
"533","6"
"534","0"
"535","4"
"536","0"
"537","14"
"538","0"
"539","4"
"540","9"
"541","4"
"542","5"
"543","8"
"544","6"
"545","2"
"546","0"
"547","0"
"548","1"
"549","9"
"550","0"
"551","3"
"552","2"
"553","0"
"554","5"
"555","9"
"556","6"
"557","0"
"558","0"
"559","0"
"560","2"
"561","5"
"562","8"
"563","0"
"564","5"
"565","0"
"566","4"
"567","0"
"568","6"
"569","1"
"570","3"
"571","6"
"572","5"
"573","4"
"574","2"
"575","4"
"576","9"
"577","0"
"578","2"
"579","0"
"580","12"
"581","9"
"582","3"
"583","2"
"584","0"
"585","7"
"586","13"
"587","4"
"588","0"
"589","4"
"590","2"
"591","0"
"592","1"
"593","14"
"594","12"
"595","0"
"596","8"
"597","4"
"598","5"
"599","0"
"600","0"
"601","0"
"602","12"
"603","10"
"604","2"
"605","0"
"606","5"
"607","9"
"608","6"
"609","5"
"610","2"
"611","7"
"612","6"
"613","0"
"614","11"
"615","0"
"616","6"
"617","0"
"618","2"
"619","10"
"620","0"
"621","0"
"622","5"
"623","0"
"624","0"
"625","4"
"626","0"
"627","0"
"628","0"
"629","10"
"630","2"
"631","7"
"632","0"
"633","14"
"634","3"
"635","6"
"636","5"
"637","0"
"638","5"
"639","1"
"640","0"
"641","4"
"642","6"
"643","4"
"644","0"
"645","4"
"646","9"
"647","0"
"648","2"
"649","0"
"650","0"
"651","7"
"652","4"
"653","5"
"654","9"
"655","8"
"656","4"
"657","7"
"658","5"
"659","2"
"660","0"
"661","0"
"662","0"
"663","0"
"664","5"
"665","4"
"666","9"
"667","4"
"668","9"
"669","2"
"670","0"
"671","14"
"672","3"
"673","0"
"674","4"
"675","6"
"676","7"
"677","3"
"678","0"
"679","9"
"680","5"
"681","2"
"682","0"
"683","3"
"684","5"
"685","8"
"686","6"
"687","2"
"688","6"
"689","5"
"690","0"
"691","2"
"692","0"
"693","6"
"694","0"
"695","0"
"696","13"
"697","5"
"698","1"
"699","4"
"700","0"
"701","8"
"702","11"
"703","0"
"704","0"
"705","5"
"706","4"
"707","4"
"708","3"
"709","4"
"710","2"
"711","0"
"712","0"
"713","4"
"714","0"
"715","0"
"716","0"
"717","0"
"718","0"
"719","10"
"720","0"
"721","0"
"722","6"
"723","3"
"724","11"
"725","0"
"726","9"
"727","4"
"728","1"
"729","4"
"730","10"
"731","2"
"732","9"
"733","0"
"734","1"
"735","0"
"736","0"
"737","9"
"738","0"
"739","3"
"740","0"
"741","0"
"742","13"
"743","1"
"744","0"
"745","1"
"746","0"
"747","9"
"748","7"
"749","3"
"750","4"
"751","8"
"752","9"
"753","0"
"754","10"
"755","0"
"756","0"
"757","5"
"758","4"
"759","5"
"760","4"
"761","0"
"762","0"
"763","6"
"764","5"
"765","0"
"766","0"
"767","0"
"768","0"
"769","4"
"770","7"
"771","3"
"772","5"
"773","9"
"774","0"
"775","0"
"776","1"
"777","4"
"778","0"
"779","4"
"780","0"
"781","12"
"782","9"
"783","0"
"784","3"
"785","2"
"786","6"
"787","5"
"788","6"
"789","4"
"790","1"
"791","4"
"792","4"
"793","0"
"794","0"
"795","7"
"796","4"
"797","4"
"798","2"
"799","0"
"800","1"
"801","0"
"802","8"
"803","11"
"804","0"
"805","13"
"806","3"
"807","5"
"808","0"
"809","0"
"810","3"
"811","5"
"812","7"
"813","1"
"814","5"
"815","1"
"816","0"
"817","0"
"818","13"
"819","3"
"820","9"
"821","1"
"822","8"
"823","5"
"824","0"
"825","0"
"826","0"
"827","1"
"828","9"
"829","1"
"830","3"
"831","11"
"832","0"
"833","8"
"834","5"
"835","5"
"836","6"
"837","0"
"838","1"
"839","0"
"840","4"
"841","0"
"842","0"
"843","4"
"844","4"
"845","0"
"846","3"
"847","9"
"848","0"
"849","6"
"850","5"
"851","7"
"852","11"
"853","2"
"854","0"
"855","13"
"856","4"
"857","6"
"858","1"
"859","2"
"860","4"
"861","0"
"862","1"
"863","5"
"864","0"
"865","3"
"866","5"
"867","0"
"868","4"
"869","2"
"870","0"
"871","4"
"872","5"
"873","0"
"874","2"
"875","1"
"876","0"
"877","1"
"878","3"
"879","0"
"880","0"
"881","1"
"882","6"
"883","3"
"884","5"
"885","3"
"886","0"
"887","9"
"888","5"
"889","2"
"890","4"
"891","0"
"892","9"
"893","11"
"894","5"
"895","7"
"896","0"
"897","1"
"898","2"
"899","0"
"900","0"
"901","4"
"902","1"
"903","5"
"904","0"
"905","0"
"906","3"
"907","1"
"908","4"
"909","4"
"910","0"
"911","6"
"912","11"
"913","0"
"914","0"
"915","4"
"916","4"
"917","3"
"918","0"
"919","0"
"920","3"
"921","0"
"922","8"
"923","6"
"924","2"
"925","0"
"926","2"
"927","1"
"928","0"
"929","0"
"930","0"
"931","3"
"932","0"
"933","5"
"934","5"
"935","0"
"936","8"
"937","4"
"938","6"
"939","2"
"940","9"
"941","2"
"942","4"
"943","0"
"944","14"
"945","2"
"946","0"
"947","4"
"948","0"
"949","14"
"950","7"
"951","4"
"952","9"
"953","14"
"954","5"
"955","8"
"956","0"
"957","0"
"958","2"
"959","5"
"960","8"
"961","4"
"962","3"
"963","0"
"964","0"
"965","11"
"966","3"
"967","5"
"968","9"
"969","1"
"970","12"
"971","9"
"972","1"
"973","0"
"974","2"
"975","0"
"976","2"
"977","0"
"978","4"
"979","0"
"980","8"
"981","5"
"982","12"
"983","0"
"984","11"
"985","8"
"986","4"
"987","0"
"988","0"
"989","0"
"990","0"
"991","0"
"992","8"
"993","4"
"994","3"
"995","10"
"996","9"
"997","13"
"998","5"
"999","0"
"1000","9"
"1001","0"
"1002","0"
"1003","3"
"1004","6"
"1005","1"
"1006","11"
"1007","0"
"1008","7"
"1009","12"
"1010","0"
"1011","2"
"1012","0"
"1013","1"
"1014","0"
"1015","0"
"1016","4"
"1017","0"
"1018","3"
"1019","13"
"1020","10"
"1021","0"
"1022","4"
"1023","8"
"1024","7"
"1025","0"
"1026","9"
"1027","0"
"1028","0"
"1029","0"
"1030","9"
"1031","0"
"1032","0"
"1033","4"
"1034","0"
"1035","0"
"1036","0"
"1037","5"
"1038","10"
"1039","13"
"1040","0"
"1041","4"
"1042","4"
"1043","8"
"1044","0"
"1045","4"
"1046","4"
"1047","12"
"1048","6"
"1049","0"
"1050","4"
"1051","0"
"1052","12"
"1053","5"
"1054","0"
"1055","6"
"1056","2"
"1057","8"
"1058","2"
"1059","3"
"1060","0"
"1061","11"
"1062","3"
"1063","5"
"1064","6"
"1065","2"
"1066","0"
"1067","0"
"1068","8"
"1069","4"
"1070","0"
"1071","1"
"1072","4"
"1073","0"
"1074","11"
"1075","5"
"1076","4"
"1077","4"
"1078","0"
"1079","0"
"1080","0"
"1081","6"
"1082","0"
"1083","0"
"1084","4"
"1085","0"
"1086","0"
"1087","0"
"1088","3"
"1089","3"
"1090","4"
"1091","11"
"1092","6"
"1093","0"
"1094","6"
"1095","14"
"1096","5"
"1097","2"
"1098","2"
"1099","0"
"1100","11"
"1101","4"
"1102","7"
"1103","0"
"1104","3"
"1105","14"
"1106","3"
"1107","7"
"1108","3"
"1109","0"
"1110","3"
"1111","8"
"1112","3"
"1113","9"
"1114","3"
"1115","1"
"1116","0"
"1117","0"
"1118","9"
"1119","6"
"1120","5"
"1121","7"
"1122","5"
"1123","6"
"1124","9"
"1125","0"
"1126","2"
"1127","4"
"1128","6"
"1129","0"
"1130","4"
"1131","8"
"1132","0"
"1133","8"
"1134","7"
"1135","11"
"1136","9"
"1137","13"
"1138","2"
"1139","5"
"1140","5"
"1141","2"
"1142","13"
"1143","10"
"1144","1"
"1145","0"
"1146","1"
"1147","9"
"1148","8"
"1149","4"
"1150","7"
"1151","1"
"1152","6"
"1153","0"
"1154","0"
"1155","3"
"1156","0"
"1157","0"
"1158","5"
"1159","4"
"1160","5"
"1161","0"
"1162","1"
"1163","9"
"1164","0"
"1165","9"
"1166","0"
"1167","0"
"1168","0"
"1169","0"
"1170","0"
"1171","0"
"1172","0"
"1173","5"
"1174","5"
"1175","4"
"1176","5"
"1177","0"
"1178","0"
"1179","2"
"1180","4"
"1181","9"
"1182","0"
"1183","11"
"1184","2"
"1185","5"
"1186","2"
"1187","0"
"1188","6"
"1189","7"
"1190","0"
"1191","0"
"1192","5"
"1193","0"
"1194","0"
"1195","5"
"1196","7"
"1197","9"
"1198","0"
"1199","2"
"1200","5"
"1201","6"
"1202","0"
"1203","0"
"1204","0"
"1205","5"
"1206","4"
"1207","4"
"1208","0"
"1209","0"
"1210","0"
"1211","13"
"1212","5"
"1213","0"
"1214","3"
"1215","0"
"1216","0"
"1217","0"
"1218","0"
"1219","0"
"1220","0"
"1221","4"
"1222","0"
"1223","0"
"1224","2"
"1225","1"
"1226","4"
"1227","4"
"1228","0"
"1229","3"
"1230","0"
"1231","0"
"1232","11"
"1233","5"
"1234","4"
"1235","4"
"1236","0"
"1237","0"
"1238","0"
"1239","0"
"1240","1"
"1241","4"
"1242","1"
"1243","1"
"1244","0"
"1245","0"
"1246","12"
"1247","3"
"1248","2"
"1249","12"
"1250","4"
"1251","0"
"1252","2"
"1253","1"
"1254","0"
"1255","0"
"1256","0"
"1257","1"
"1258","6"
"1259","10"
"1260","0"
"1261","5"
"1262","4"
"1263","4"
"1264","0"
"1265","0"
"1266","2"
"1267","6"
"1268","8"
"1269","10"
"1270","5"
"1271","9"
"1272","0"
"1273","5"
"1274","0"
"1275","5"
"1276","0"
"1277","12"
"1278","3"
"1279","4"
"1280","0"
"1281","0"
"1282","6"
"1283","9"
"1284","0"
"1285","5"
"1286","9"
"1287","2"
"1288","3"
"1289","2"
"1290","2"
"1291","0"
"1292","2"
"1293","0"
"1294","3"
"1295","1"
"1296","2"
"1297","4"
"1298","0"
"1299","5"
"1300","5"
"1301","0"
"1302","8"
"1303","0"
"1304","4"
"1305","5"
"1306","0"
"1307","2"
"1308","0"
"1309","4"
"1310","4"
"1311","0"
"1312","0"
"1313","0"
"1314","10"
"1315","3"
"1316","6"
"1317","0"
"1318","0"
"1319","0"
"1320","0"
"1321","3"
"1322","5"
"1323","0"
"1324","0"
"1325","2"
"1326","5"
"1327","9"
"1328","4"
"1329","0"
"1330","0"
"1331","0"
"1332","0"
"1333","0"
"1334","5"
"1335","0"
"1336","0"
"1337","1"
"1338","5"
"1339","10"
"1340","2"
"1341","4"
"1342","0"
"1343","0"
"1344","6"
"1345","4"
"1346","5"
"1347","0"
"1348","2"
"1349","2"
"1350","10"
"1351","0"
"1352","0"
"1353","0"
"1354","9"
"1355","0"
"1356","4"
"1357","0"
"1358","9"
"1359","2"
"1360","0"
"1361","2"
"1362","0"
"1363","13"
"1364","2"
"1365","4"
"1366","9"
"1367","0"
"1368","0"
"1369","0"
"1370","5"
"1371","2"
"1372","5"
"1373","0"
"1374","6"
"1375","7"
"1376","5"
"1377","0"
"1378","9"
"1379","0"
"1380","14"
"1381","5"
"1382","0"
"1383","2"
"1384","2"
"1385","9"
"1386","4"
"1387","5"
"1388","5"
"1389","2"
"1390","2"
"1391","11"
"1392","11"
"1393","0"
"1394","0"
"1395","7"
"1396","11"
"1397","9"
"1398","0"
"1399","0"
"1400","12"
"1401","8"
"1402","12"
"1403","3"
"1404","0"
"1405","0"
"1406","5"
"1407","2"
"1408","8"
"1409","9"
"1410","3"
"1411","9"
"1412","9"
"1413","2"
"1414","0"
"1415","0"
"1416","9"
"1417","0"
"1418","9"
"1419","0"
"1420","14"
"1421","0"
"1422","4"
"1423","0"
"1424","9"
"1425","1"
"1426","3"
"1427","4"
"1428","0"
"1429","2"
"1430","0"
"1431","0"
"1432","0"
"1433","0"
"1434","6"
"1435","0"
"1436","0"
"1437","5"
"1438","8"
"1439","0"
"1440","9"
"1441","3"
"1442","4"
"1443","0"
"1444","0"
"1445","11"
"1446","5"
"1447","6"
"1448","0"
"1449","2"
"1450","5"
"1451","7"
"1452","5"
"1453","0"
"1454","4"
"1455","3"
"1456","8"
"1457","0"
"1458","5"
"1459","4"
"1460","5"
"1461","11"
"1462","9"
"1463","6"
"1464","0"
"1465","11"
"1466","6"
"1467","0"
"1468","0"
"1469","4"
"1470","6"
"1471","0"
"1472","4"
"1473","0"
"1474","0"
"1475","0"
"1476","0"
"1477","8"
"1478","2"
"1479","0"
"1480","13"
"1481","0"
"1482","0"
"1483","9"
"1484","9"
"1485","6"
"1486","0"
"1487","0"
"1488","5"
"1489","0"
"1490","4"
"1491","2"
"1492","0"
"1493","6"
"1494","2"
"1495","11"
"1496","4"
"1497","5"
"1498","5"
"1499","3"
"1500","3"
"1501","2"
"1502","1"
"1503","5"
"1504","5"
"1505","0"
"1506","5"
"1507","0"
"1508","0"
"1509","2"
"1510","10"
"1511","3"
"1512","4"
"1513","4"
"1514","3"
"1515","0"
"1516","0"
"1517","9"
"1518","11"
"1519","3"
"1520","0"
"1521","5"
"1522","13"
"1523","5"
"1524","5"
"1525","8"
"1526","4"
"1527","7"
"1528","8"
"1529","0"
"1530","5"
"1531","9"
"1532","0"
"1533","7"
"1534","0"
"1535","4"
"1536","5"
"1537","0"
"1538","0"
"1539","5"
"1540","9"
"1541","0"
"1542","0"
"1543","2"
"1544","0"
"1545","6"
"1546","0"
"1547","4"
"1548","3"
"1549","3"
"1550","0"
"1551","0"
"1552","6"
"1553","4"
"1554","3"
"1555","0"
"1556","0"
"1557","1"
"1558","0"
"1559","0"
"1560","13"
"1561","0"
"1562","0"
"1563","14"
"1564","1"
"1565","4"
"1566","0"
"1567","7"
"1568","7"
"1569","0"
"1570","1"
"1571","0"
"1572","2"
"1573","3"
"1574","0"
"1575","5"
"1576","0"
"1577","3"
"1578","0"
"1579","0"
"1580","0"
"1581","7"
"1582","2"
"1583","4"
"1584","1"
"1585","1"
"1586","2"
"1587","5"
"1588","4"
"1589","0"
"1590","2"
"1591","2"
"1592","9"
"1593","4"
"1594","0"
"1595","0"
"1596","0"
"1597","0"
"1598","5"
"1599","0"
"1600","4"
"1601","3"
"1602","0"
"1603","0"
"1604","4"
"1605","7"
"1606","12"
"1607","3"
"1608","2"
"1609","0"
"1610","0"
"1611","6"
"1612","5"
"1613","0"
"1614","0"
"1615","5"
"1616","0"
"1617","12"
"1618","8"
"1619","5"
"1620","1"
"1621","8"
"1622","13"
"1623","0"
"1624","7"
"1625","9"
"1626","5"
"1627","9"
"1628","4"
"1629","2"
"1630","5"
"1631","0"
"1632","4"
"1633","1"
"1634","0"
"1635","0"
"1636","0"
"1637","2"
"1638","0"
"1639","2"
"1640","1"
"1641","0"
"1642","2"
"1643","0"
"1644","6"
"1645","0"
"1646","6"
"1647","3"
"1648","6"
"1649","1"
"1650","8"
"1651","4"
"1652","3"
"1653","4"
"1654","0"
"1655","0"
"1656","1"
"1657","0"
"1658","5"
"1659","1"
"1660","5"
"1661","5"
"1662","2"
"1663","0"
"1664","0"
"1665","2"
"1666","2"
"1667","0"
"1668","0"
"1669","0"
"1670","0"
"1671","5"
"1672","4"
"1673","4"
"1674","0"
"1675","11"
"1676","1"
"1677","0"
"1678","0"
"1679","13"
"1680","9"
"1681","0"
"1682","0"
"1683","0"
"1684","2"
"1685","5"
"1686","2"
"1687","0"
"1688","2"
"1689","11"
"1690","5"
"1691","6"
"1692","0"
"1693","8"
"1694","5"
"1695","0"
"1696","4"
"1697","0"
"1698","9"
"1699","3"
"1700","5"
"1701","6"
"1702","0"
"1703","0"
"1704","10"
"1705","0"
"1706","4"
"1707","14"
"1708","6"
"1709","6"
"1710","0"
"1711","11"
"1712","0"
"1713","1"
"1714","9"
"1715","9"
"1716","5"
"1717","1"
"1718","8"
"1719","4"
"1720","7"
"1721","0"
"1722","4"
"1723","3"
"1724","0"
"1725","8"
"1726","9"
"1727","4"
"1728","2"
"1729","13"
"1730","0"
"1731","0"
"1732","0"
"1733","2"
"1734","2"
"1735","4"
"1736","8"
"1737","6"
"1738","3"
"1739","0"
"1740","0"
"1741","0"
"1742","0"
"1743","0"
"1744","1"
"1745","0"
"1746","10"
"1747","5"
"1748","5"
"1749","3"
"1750","0"
"1751","2"
"1752","1"
"1753","5"
"1754","4"
"1755","3"
"1756","8"
"1757","1"
"1758","0"
"1759","0"
"1760","5"
"1761","0"
"1762","0"
"1763","4"
"1764","13"
"1765","3"
"1766","5"
"1767","4"
"1768","2"
"1769","1"
"1770","3"
"1771","0"
"1772","11"
"1773","0"
"1774","0"
"1775","0"
"1776","7"
"1777","1"
"1778","12"
"1779","11"
"1780","0"
"1781","6"
"1782","0"
"1783","0"
"1784","4"
"1785","2"
"1786","12"
"1787","0"
"1788","0"
"1789","0"
"1790","2"
"1791","0"
"1792","1"
"1793","9"
"1794","3"
"1795","0"
"1796","6"
"1797","0"
"1798","3"
"1799","3"
"1800","0"
"1801","0"
"1802","6"
"1803","9"
"1804","5"
"1805","0"
"1806","0"
"1807","4"
"1808","0"
"1809","0"
"1810","0"
"1811","0"
"1812","3"
"1813","3"
"1814","0"
"1815","0"
"1816","0"
"1817","1"
"1818","5"
"1819","9"
"1820","11"
"1821","0"
"1822","4"
"1823","0"
"1824","0"
"1825","0"
"1826","8"
"1827","8"
"1828","6"
"1829","1"
"1830","3"
"1831","0"
"1832","2"
"1833","1"
"1834","1"
"1835","1"
"1836","0"
"1837","0"
"1838","2"
"1839","0"
"1840","0"
"1841","0"
"1842","1"
"1843","7"
"1844","0"
"1845","2"
"1846","4"
"1847","5"
"1848","5"
"1849","4"
"1850","3"
"1851","6"
"1852","11"
"1853","12"
"1854","9"
"1855","2"
"1856","5"
"1857","3"
"1858","2"
"1859","9"
"1860","4"
"1861","7"
"1862","0"
"1863","9"
"1864","5"
"1865","14"
"1866","0"
"1867","2"
"1868","0"
"1869","0"
"1870","3"
"1871","13"
"1872","5"
"1873","13"
"1874","0"
"1875","2"
"1876","0"
"1877","6"
"1878","12"
"1879","0"
"1880","9"
"1881","3"
"1882","0"
"1883","4"
"1884","4"
"1885","4"
"1886","6"
"1887","4"
"1888","5"
"1889","8"
"1890","0"
"1891","5"
"1892","6"
"1893","3"
"1894","3"
"1895","0"
"1896","0"
"1897","5"
"1898","4"
"1899","0"
"1900","5"
"1901","0"
"1902","4"
"1903","0"
"1904","0"
"1905","0"
"1906","11"
"1907","3"
"1908","8"
"1909","0"
"1910","0"
"1911","2"
"1912","13"
"1913","6"
"1914","0"
"1915","8"
"1916","4"
"1917","0"
"1918","0"
"1919","0"
"1920","0"
"1921","7"
"1922","0"
"1923","10"
"1924","1"
"1925","10"
"1926","1"
"1927","0"
"1928","4"
"1929","0"
"1930","0"
"1931","0"
"1932","9"
"1933","4"
"1934","4"
"1935","14"
"1936","13"
"1937","0"
"1938","0"
"1939","14"
"1940","3"
"1941","0"
"1942","0"
"1943","0"
"1944","0"
"1945","4"
"1946","13"
"1947","0"
"1948","7"
"1949","13"
"1950","0"
"1951","0"
"1952","0"
"1953","2"
"1954","6"
"1955","0"
"1956","5"
"1957","3"
"1958","4"
"1959","0"
"1960","2"
"1961","0"
"1962","5"
"1963","0"
"1964","8"
"1965","0"
"1966","0"
"1967","1"
"1968","6"
"1969","0"
"1970","5"
"1971","8"
"1972","4"
"1973","0"
"1974","6"
"1975","9"
"1976","0"
"1977","0"
"1978","3"
"1979","5"
"1980","2"
"1981","5"
"1982","0"
"1983","10"
"1984","5"
"1985","5"
"1986","5"
"1987","0"
"1988","0"
"1989","3"
"1990","0"
"1991","0"
"1992","9"
"1993","5"
"1994","2"
"1995","7"
"1996","1"
"1997","0"
"1998","1"
"1999","6"
"2000","0"
"2001","4"
"2002","4"
"2003","2"
"2004","0"
"2005","8"
"2006","0"
"2007","14"
"2008","12"
"2009","4"
"2010","0"
"2011","8"
"2012","0"
"2013","1"
"2014","0"
"2015","0"
"2016","0"
"2017","5"
"2018","5"
"2019","9"
"2020","0"
"2021","0"
"2022","5"
"2023","1"
"2024","11"
"2025","4"
"2026","4"
"2027","4"
"2028","5"
"2029","0"
"2030","11"
"2031","0"
"2032","0"
"2033","6"
"2034","0"
"2035","9"
"2036","0"
"2037","1"
"2038","0"
"2039","4"
"2040","7"
"2041","5"
"2042","0"
"2043","0"
"2044","0"
"2045","0"
"2046","4"
"2047","0"
"2048","4"
"2049","0"
"2050","0"
"2051","5"
"2052","0"
"2053","0"
"2054","10"
"2055","0"
"2056","0"
"2057","1"
"2058","4"
"2059","2"
"2060","4"
"2061","4"
"2062","2"
"2063","0"
"2064","2"
"2065","4"
"2066","0"
"2067","9"
"2068","4"
"2069","0"
"2070","5"
"2071","0"
"2072","11"
"2073","4"
"2074","5"
"2075","4"
"2076","0"
"2077","2"
"2078","2"
"2079","5"
"2080","0"
"2081","0"
"2082","9"
"2083","3"
"2084","5"
"2085","4"
"2086","7"
"2087","0"
"2088","0"
"2089","1"
"2090","0"
"2091","0"
"2092","0"
"2093","1"
"2094","6"
"2095","5"
"2096","6"
"2097","1"
"2098","5"
"2099","6"
"2100","1"
"2101","3"
"2102","8"
"2103","4"
"2104","8"
"2105","5"
"2106","0"
"2107","13"
"2108","0"
"2109","7"
"2110","0"
